Spouse1,Spouse2
1,2
2,1
3,4
4,3
6,7
7,6
8,9
9,8
10,12
12,10
13,14
14,13
17,18
18,17
25,26
26,25
29,30
30,29
28,31
31,28
32,33
33,32
34,35
35,34
46,47
47,46
48,49
49,48
52,53
53,52
57,59
59,57
60,62
62,60
74,76
76,74
77,78
78,77
86,89
89,86
87,88
88,87
90,92
92,90
94,95
95,94
63,64
64,63
